"baseMean.AR" "log2FoldChange.AR" "lfcSE.AR" "stat.AR" "pvalue.AR" "padj.AR" "baseMean.HOX" "log2FoldChange.HOX" "lfcSE.HOX" "stat.HOX" "pvalue.HOX" "padj.HOX"
"A1BG" 757.843030949564 0.203115853632932 0.138985142357642 1.46142134466622 0.143899846565701 0.335263706867284 3.00036150917466 0.261459791418901 0.845829400243234 0.309116461716409 0.757232937372792 1
"A1CF" 16.3612496772463 1.88619692123311 0.72304951922689 2.6086690760128 0.00908950961152038 0.0443710847981052 0 0 NA NA NA 1
"A2M" 22.7994969172828 0.161166361011993 0.520987413479784 0.309347897553858 0.757056899519059 0.887900993374554 0 0 NA NA NA 1
"A2ML1" 41.8855914531719 -0.615315320536387 0.418383896705196 -1.47069551524817 0.141373479608108 0.331186099209556 0.25243195964081 1.46195452248352 3.19317971079205 0.457836593894958 0.647069843111018 1
"A3GALT2" 52.7058566461119 1.10335784192062 0.519701967481283 2.12305881247286 0.033748923845549 0.122820253745893 0 0 NA NA NA 1
"A4GALT" 72.9513052843098 1.01329354789342 0.310809093201729 3.26017986621693 0.00111341580696276 0.00817938359447234 0.497137346874672 -1.28630900281911 2.12472766601538 -0.605399469961909 0.544913603138661 1
"A4GNT" 1.33228334834679 -0.730696033994183 2.35027538621328 -0.310898049769166 0.755878127120199 1 0 0 NA NA NA 1
"AAAS" 2563.16225320725 -0.160931552917612 0.0781552772477902 -2.0591258656454 0.0394821825941586 0.137020271843038 28.7179338518993 -0.308326821037984 0.276073426188904 -1.1168290454258 0.264067427317479 0.605917789469136
"AACS" 4544.47274406279 0.0908145235879838 0.111801175007321 0.812285949427962 0.416627570952551 0.646100143676613 28.3844069337813 0.26122564214592 0.27875754913426 0.937106969684629 0.34870353666721 0.688107297941479
"AADAC" 0 0 NA NA NA 1 0 0 NA NA NA 1
"AADACL2" 0 0 NA NA NA 1 0 0 NA NA NA 1
"AADACL3" 0.164786509959278 -0.948401377673075 4.0804728567969 -0.232424380937447 0.816208414104917 1 0 0 NA NA NA 1
"AADACL4" 0 0 NA NA NA 1 0 0 NA NA NA 1
"AADAT" 5255.31619042946 -1.54316343222424 0.251735434093439 -6.13010018943717 8.78237495913501e-10 3.15107621545146e-08 37.2147880244227 -1.7730664401463 0.274725305884104 -6.4539611101363 1.0896378391433e-10 8.57093178350523e-09
"AAGAB" 3726.75533529122 -0.0992508091761525 0.0775976618508022 -1.2790438114873 0.200881628321412 0.415910592302968 18.1057301574053 -0.28030917220414 0.344473994010636 -0.81373101330687 0.415799063336919 0.742060182392593
"AAK1" 2435.92134991614 -0.0170233444484288 0.119218256258706 -0.142791422913348 0.886454911189164 0.955971287857322 3.3679405860043 -0.981154902671931 0.812361160433256 -1.20778164991129 0.227131261625632 1
"AAMDC" 951.744563312558 -0.126011981629175 0.0896817454220965 -1.40510179676016 0.159991009912982 0.358571560689416 9.50267003241964 0.17133640342026 0.474767845735946 0.360884598565576 0.718185717401344 0.901477727453746
"AAMP" 3796.41300512813 -0.0463641019686375 0.0724427667520442 -0.640010094138614 0.522166036959817 0.735423243951756 73.5006744326464 0.34384410753905 0.189903434238731 1.81062606328012 0.0701987549080581 0.277950871182919
"AANAT" 12.167822004257 1.13519922555866 0.695863929062454 1.63135230631674 0.102816002352377 0.269519946046901 0 0 NA NA NA 1
"AAR2" 1957.06322874438 0.0106014454066191 0.0830943754618061 0.127583188966767 0.898478835658424 0.961711667132656 11.0020401082502 0.150615412604005 0.439439152238551 0.342744636741524 0.731790579161859 0.907159577955123
"AARD" 5.6575823612039 -0.157939612019731 0.897286104338617 -0.176019233169945 0.860278832468325 1 0 0 NA NA NA 1
