"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"EPB41L4B" 20.4197856439402 1.03294385194484 0.33711417687396 3.06407716674292 0.00218342582691129 0.0210195471396684
"KIAA0101" 29.8914430570983 -1.37958074370602 0.292471167119824 -4.71698033447794 2.3937081766504e-06 6.92350571273321e-05
"MCM4" 51.4363539144937 -1.4251220270176 0.225507183519787 -6.31963028748728 2.62189815131083e-10 1.96642361348312e-08
"CHEK1" 20.9312042665034 -1.30327368232947 0.342046392860297 -3.81022489794761 0.000138840432104048 0.00219490388988016
"PPAP2C" 28.1176875181954 -2.0294619778351 0.325482556902688 -6.23524036786358 4.51084916369201e-10 3.16249751150146e-08
"SLAIN1" 14.6989134860497 -1.53366758212463 0.414460362893521 -3.70039627292089 0.000215263055811415 0.00319183151720375
"ECH1" 302.552159904399 -1.0334100781902 0.138657904446836 -7.45294747034369 9.12776337212918e-14 9.34509107146559e-12
"CDT1" 16.9364073892817 -1.56577480759915 0.385799435370383 -4.05852021555175 4.93846590143886e-05 0.000924092877843094
"UGT2B11" 248.759521131577 3.60701991427498 0.160473522933532 22.4773523278915 6.91420088575567e-112 4.45965957131241e-108
"NEDD1" 9.59161109833785 -1.49190390178426 0.50640334904689 -2.94607826862164 0.00321830953179882 0.0281794471312191
"ASS1" 135.922430085008 1.0125621002673 0.1676881543917 6.03836391389981 1.55684644151136e-09 1.05701679449982e-07
"BAMBI" 13.154702177287 1.27389210446906 0.431277783035995 2.95376241155166 0.00313925588349517 0.0278134621545932
"TANC1" 15.8336414012423 -1.20857207082184 0.388391599928946 -3.11173586411997 0.00185990830383061 0.018715145958982
"NCAPH" 24.4232547809575 -1.26725361532996 0.315007047171898 -4.02293734920295 5.74767895512875e-05 0.00104724658928193
"PLK1" 51.3338471534415 -1.40239275386918 0.223179184894726 -6.28370766086761 3.30592107435552e-10 2.42308987836285e-08
"NUP210" 24.0533600348448 -1.19987669171007 0.319295453397124 -3.75788843512822 0.000171353244327012 0.00261283315817784
"RPIA" 8.8402651196264 -1.43338672368659 0.527303089943724 -2.71833552850898 0.00656112662280725 0.0489806327744291
"CDCA4" 11.6978478662687 -1.96133948270986 0.486641711046253 -4.03035629332529 5.56923698753493e-05 0.00102340679685471
"SMIM14" 19.1609156448124 1.10482977136938 0.353991573404314 3.1210623483048 0.00180199877639359 0.0182176992284305
"NVL" 12.3362202025342 -1.32371635629108 0.441862654463179 -2.99576427860659 0.00273757965362833 0.0250815181333846
"SLC30A4" 10.0628141522409 -4.24764053538143 0.817987333833732 -5.19279499778272 2.07160253518057e-07 8.19744561467159e-06
"XBP1" 287.399311423883 2.04315983034874 0.128150444348296 15.9434471003136 3.16407980636605e-57 6.80277158368701e-54
"MINK1" 16.3338711285898 -1.06441564464828 0.376626225822635 -2.82618567605949 0.0047105950115689 0.0379317575837945
"PXN" 13.3314575684172 -1.20985722153011 0.421915177169781 -2.86753662109496 0.00413680925539174 0.034208230381124
"DLGAP5" 19.8085263366881 -1.36686080572875 0.350552622310721 -3.89916012243434 9.65269276492309e-05 0.00161713943724036
"TMC4" 23.298055308096 1.05428862769154 0.32288486756521 3.26521535568283 0.00109380880000092 0.0121013151972658
"ELOVL7" 13.5748883100085 -1.37861719948165 0.433045578814446 -3.18353833159066 0.00145486848971827 0.0152336067511085
"FBXL17" 29.1639406143747 -1.03695164533268 0.285946303134792 -3.62638591219649 0.000287415717975091 0.0040476667706099
"ALDH3B2" 29.8354180586777 1.65343962854466 0.316365016600036 5.22636682877936 1.72873225458055e-07 6.96477011365143e-06
"UGT2B28" 62.4059122424526 2.93899292527719 0.251573030259094 11.6824642222194 1.56686211289264e-31 1.12291784757306e-28
"POMGNT1" 21.2983930183172 -1.3387068791824 0.340304907211801 -3.93384535694988 8.35975794364312e-05 0.00143342023698798
"KIF20A" 18.7978322018283 -1.87595086398947 0.379411766030615 -4.94436660100336 7.63918296933491e-07 2.6070227593762e-05
"CEP55" 12.2164388934113 -1.2317233467512 0.439557396259765 -2.80219001484685 0.00507569685720046 0.0402189738684803
"HID1" 48.2355067675151 1.25084859254445 0.228080393925237 5.48424426588138 4.15240692135386e-08 1.96934004725974e-06
"USP22" 55.177236198197 -1.45928040844096 0.219532533627421 -6.64721708590843 2.98686346955008e-11 2.50198303618156e-09
